# Constructed from biom file
#OTU ID	SAMPLE1_PE
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	2933.0
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales	100.0
Bacteria;Bacillota;Clostridia;Lachnospirales	8879.0
Bacteria;Bacillota;Clostridia;Oscillospirales	6672.0
Bacteria;Bacillota;Clostridia;Clostridiales	96.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	7.0
Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales	9.0
Bacteria;Bacillota;Bacilli;Erysipelotrichales	218.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	1324.0
Bacteria;Bacillota;Clostridia;Monoglobales	178.0
Bacteria;Bacillota;Bacilli;Lactobacillales	206.0
Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales	128.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	3.0
