task_id	hash	native_id	process	tag	name	status	exit	submit	module	cpus	memory	attempt	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
2	77/a3995c	602	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	SAMPLE1_PE	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SAMPLE1_PE)	CACHED	0	2026-03-25 09:20:09.023	-	1	1 GB	1	350ms	9ms	120.0%	0.0%	0	0	0	0	105.4 KB	894 B
4	9f/0d70a8	771	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC	SAMPLE1_PE	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (SAMPLE1_PE)	CACHED	0	2026-03-25 09:20:44.591	-	4	20 GB	1	1.4s	1s	157.0%	0.1%	32.4 MB	69.5 MB	32.4 MB	69.5 MB	104.9 MB	93.1 MB
3	97/40dde0	1479	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	SAMPLE1_PE	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (SAMPLE1_PE)	CACHED	0	2026-03-25 09:23:19.222	-	2	3 GB	1	3.8s	3s	198.1%	1.6%	569.1 MB	6 GB	574.1 MB	6 GB	28 MB	6.7 MB
5	ea/d9cc40	1308	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_STD	cutadapt_standard	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_STD (cutadapt_standard)	CACHED	0	2026-03-25 09:21:29.168	-	1	1 GB	1	1.4s	0ms	89.7%	0.0%	4.4 MB	29.8 MB	4.4 MB	29.8 MB	848.5 KB	539 B
6	03/634383	2299	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE	cutadapt_standard_summary.tsv	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE (cutadapt_standard_summary.tsv)	CACHED	0	2026-03-25 09:27:00.542	-	1	1 GB	1	335ms	0ms	160.0%	0.0%	0	0	0	0	68.7 KB	352 B
7	69/eac5f6	2305	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1	FW	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (FW)	CACHED	0	2026-03-25 09:27:00.547	-	2	3 GB	1	11.5s	11s	97.8%	4.2%	1.5 GB	3 GB	1.5 GB	3 GB	50 MB	1.5 MB
8	f7/b23537	2542	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1	RV	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (RV)	CACHED	0	2026-03-25 09:27:00.881	-	2	3 GB	1	12.1s	11s	97.7%	4.3%	1.5 GB	3.1 GB	1.5 GB	3.1 GB	57.8 MB	2.6 MB
10	ea/3935ab	3389	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN	RV	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN (RV)	CACHED	0	2026-03-25 09:27:32.919	-	1	1 GB	1	3.2s	2s	94.6%	0.1%	49.6 MB	522.6 MB	49.6 MB	522.6 MB	21.3 MB	406 B
9	f3/1ea231	3382	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN	FW	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN (FW)	CACHED	0	2026-03-25 09:27:32.907	-	1	1 GB	1	3.2s	2s	95.3%	0.1%	49.4 MB	522.6 MB	49.4 MB	522.6 MB	21.3 MB	405 B
11	4b/2540dd	3832	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	SAMPLE1_PE	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (SAMPLE1_PE)	CACHED	0	2026-03-25 09:27:36.148	-	2	3 GB	1	9.3s	9s	99.7%	2.5%	863.4 MB	1.5 GB	863.4 MB	1.6 GB	52.3 MB	3 MB
12	59/620041	4192	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2	RV	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (RV)	CACHED	0	2026-03-25 09:27:46.229	-	2	3 GB	1	11.6s	11s	97.7%	4.2%	1.5 GB	3 GB	1.5 GB	3 GB	45.6 MB	1.4 MB
13	ec/f7a985	5139	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR	1	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (1)	CACHED	0	2026-03-25 09:27:57.827	-	4	20 GB	1	16.4s	17s	145.9%	3.1%	1.1 GB	2.1 GB	1.1 GB	2.1 GB	44.5 MB	1.2 MB
14	60/ed6f6d	4190	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2	FW	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (FW)	CACHED	0	2026-03-25 09:27:46.224	-	2	3 GB	1	11.4s	11s	97.8%	4.2%	1.5 GB	3 GB	1.5 GB	3 GB	44.2 MB	881 KB
